Id,Name,Type,Price,Reward,Category,UnlockLevel
1,Clear Counter,Item,30,bc571c2f81ae71245b19e8a3748b8b72_1,Counters,1
2,Cutting Counter,Item,40,74268350f66e75a42929093c253fe95f_1,Counters,1
3,Fridge,Item,50,e796b6381a3503c48aeb31e64942efa8_1,Counters,2
4,Plate Counter,Item,40,667d87b3a7db4ed4ab2f0a0eb500f026_1,Counters,1
5,Stove Pan Counter,Item,50,efd77c74ec8bdb74e811b458c89e5e1a_1,Counters,2
6,Stove Pot Counter,Item,80,d4488b64edbf4dd41859e16c58897c03_1,Counters,3
7,Trash Bin,Item,10,127792b0de500fd4a972be0796d3f7d0_1,Counters,1
8,Single Table,Item,100,384226191b7471b4b82fd751d66b5757_1,Tables,1
9,Double Table,Item,200,cbff455ef1d5e89428e90c9ed2eb8e36_1,Tables,2
10,Wall,Item,10,e735350232f8f564a9bf514f8e3b0d55_1,Walls,1
11,Door,Item,20,6acc2969bc480cd4386b40bd75c9a691_1,Walls,1
12,Container Counter,Item,10,b28a5fed1f54f2948aa1cc6aa79f06d6_1,Counters,1
13,Tomatoes,Ingredient,15,8fea54ee7aaa8544e8fe6a99d41d6689_1,Vegetables,1
14,Buns,Ingredient,15,1c94b7f0c13c51d4ab047c26f734bbff_1,Bakery,1
15,Carrots,Ingredient,15,0747001d6513483489782ac8424172a3_1,Vegetables,1
16,Cheese,Ingredient,15,d20cbb9f2e2c062468b72931fb100a49_1,Dairy,1
17,Lettuces,Ingredient,15,218499c936f06474baddf67496bfef11_1,Vegetables,1
18,Onions,Ingredient,15,c0e555111a5be2640a2cef3171b2b2e9_1,Vegetables,1
19,Potatoes,Ingredient,15,dd9b1be3a963350418676757e8b4edd8_1,Vegetables,1
20,Burger,Ingredient,15,173872a3feebe344980d20f67d470122_1,Patties,1
21,Vegetable Burger,Ingredient,15,8615f37fccba7a649baec0d3c7c7c568_1,Patties,1
