Id,Name,Guid
1,BowlTablewareCounter,8e494b066dd7a9d42935203338f2b5d6
2,ClearCounter,bc571c2f81ae71245b19e8a3748b8b72
3,ContainerCounter,b28a5fed1f54f2948aa1cc6aa79f06d6
4,CuttingCounter,74268350f66e75a42929093c253fe95f
5,FridgeContainerCounter,e796b6381a3503c48aeb31e64942efa8
6,PlateTablewareCounter,667d87b3a7db4ed4ab2f0a0eb500f026
7,PostBox,
8,StovePanCounter,efd77c74ec8bdb74e811b458c89e5e1a
9,StovePotCounter,d4488b64edbf4dd41859e16c58897c03
10,TrashBinCounter,127792b0de500fd4a972be0796d3f7d0
18,DoubleTable,cbff455ef1d5e89428e90c9ed2eb8e36
17,SingleTable,384226191b7471b4b82fd751d66b5757
20,Door,6acc2969bc480cd4386b40bd75c9a691
19,Wall,e735350232f8f564a9bf514f8e3b0d55
