AssetName,AssetPath,CameraPosition,CameraRotation,ObjectRotation,BackgroundColor
Bacon A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Bacon A.prefab,(0 0 -0.5),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Bacon B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Bacon B.prefab,(0 0 -0.5),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Bag of chips A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Bag of chips A.prefab,(0 0.65 -1.25),(0 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
Bag of chips B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Bag of chips B.prefab,(0 0.65 -1.25),(0 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
Bread loaf slice A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Bread loaf slice A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Burger A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger A.prefab,(0 0.4 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Burger B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger B.prefab,(0 0.4 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Burger bun bottom ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger bun bottom .prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Burger bun top ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger bun top .prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Burger C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger C.prefab,(0 0.45 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Burger patty cooked,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Burger patty cooked.prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
